Session ID,Intent,Subintent,reasons,cluster,umap_x,umap_y,umap_z
9,Network-related issue,"['Issue with calls', 'Issue not listed']","User is not satisfied with the response regarding their issue with calls and the fact that their specific issue is not listed, leading to a lack of resolution.",4,12.663121,26.509487,-9.199601
14,Network-related issue,['Not listed'],User is not satisfied with the response regarding their query about claiming unlimited 5G data and decides to end the conversation.,1,12.657112,26.676537,-8.557422
20,Network-related issue,['My issue is not listed here'],"User is not satisfied with the response regarding the issue that is not listed, and decides to end the conversation.",4,12.5968275,26.070248,-9.231495
21,Network-related issue,"['Internet issue', 'Slow browsing']",User is experiencing slow browsing issues and needs support to troubleshoot and improve browsing speed.,3,12.034993,27.277521,-6.360504
22,Network-related issue,"['5G issue', 'Other queries']","User is facing issues with 5G connectivity on their handset, despite it being 5G ready. Troubleshooting steps provided by the bot did not resolve the issue, leading the user to raise a support ticket.",3,12.496916,27.31684,-6.105276
23,Network-related issue,"['Issue with calls', 'Calls disconnection']","User faces frequent call disconnections while moving between locations, indicating network handover issues. The suggested solution didn't work, prompting the user to raise a support ticket for further assistance.",4,13.384825,26.347044,-8.94237
24,Network-related issue,"['Issue with calls', 'My issue is not listed here', 'Deactivation of callertune']",User is not satisfied with the response regarding the deactivation of callertune and wants to raise a support ticket for further assistance.,4,13.115117,26.05356,-8.993559
25,Network-related issue,"['Internet issue', 'Streaming video']","User is facing issues with internet connectivity and video streaming, despite attempting troubleshooting steps, prompting the need to raise a support ticket.",3,12.428165,27.40217,-6.352424
26,Network-related issue,"['Issue with calls', 'International roaming', 'My issue is not listed here']","User has not received the ordered eSIM even after 20 days, prompting the need to create a support ticket for further assistance.",4,13.175016,26.913795,-9.320557
27,Network-related issue,['Stable internet connection'],"User is experiencing instability with their internet connection and has attempted troubleshooting steps without success, leading to the decision to raise a support ticket.",3,12.691681,27.372568,-6.4840508
28,Network-related issue,"['International roaming', 'Making calls issues']","User is facing issues with international roaming and making calls, and the troubleshooting steps provided by the bot did not resolve the problem, hence raising a support ticket.",4,13.072178,26.650848,-9.111378
29,Network-related issue,"['Issue with calls', 'Audio quality']","User is facing problems with audio quality during calls and has already tried troubleshooting steps provided by the bot, but the issue still persists, hence raised a support ticket.",4,13.136618,26.439764,-9.388706
30,Network-related issue,['Unable to send text messages'],"User is unable to send text messages despite following troubleshooting steps, necessitating further assistance.",4,13.344306,26.560352,-9.82824
31,Network-related issue,"['Internet issue', 'Slow browsing']",User is experiencing slow browsing issues and wants personalized assistance to troubleshoot and improve browsing speed.,3,12.34043,26.895447,-6.1576877
32,Network-related issue,"['Internet issue', 'Other Queries']","User is facing trouble with internet connectivity and has other queries, requiring personalized assistance.",3,12.652297,27.68221,-5.835465
33,Others,"['Network-related issue', 'Billing and payment issue', 'Balance, Recharge and validity', 'Plan/pack related issues']",User is not satisfied with the bot's response and wants to talk to an agent for personalized assistance.,2,12.151826,27.361824,-8.171495
34,Network-related issue,"['Issue with calls', 'My issue is not listed here']","User is experiencing network issues specifically related to calls and the issue is not listed in the options provided, requiring personalized assistance.",4,12.8702345,25.818708,-9.39173
35,Network-related issue,['My issue is not listed here'],"User wants to inquire about mobile number portability and postpaid availability, which are not listed options, leading to the need for personalized assistance.",1,12.210733,26.24395,-8.748407
36,Others,['Troubleshooting'],"User is facing issues with the Aerolink app and has tried troubleshooting steps without success, requiring assistance from a live agent.",0,12.223384,26.518715,-6.7003875
37,Network-related issue,['5G issue'],"User is experiencing issues with their 5G connectivity, specifically with intermittent switching to 4G. They require personalized assistance to address this problem.",3,12.31415,27.142614,-5.8414826
38,Network-related issue,"['Internet issue', 'Issue with video calling']","User is experiencing frequent call drops and has tried the suggested solutions, but the issue is not resolved, hence seeking personalized assistance.",4,12.596976,26.220192,-9.746935
39,Network-related issue,"['Issue with calls', 'Audio quality']","User is experiencing distortion in audio during calls and has already tried some troubleshooting steps, but the issue persists, requiring personalized assistance.",4,13.549769,26.403397,-9.311293
40,Network-related issue,['Loss of network at specific locations'],"User is experiencing loss of network at specific locations and has already tried troubleshooting steps, requiring personalized assistance.",3,12.776861,27.076202,-6.121483
41,Network-related issue,"['Internet issue', 'Streaming video']","User is facing issues with internet connectivity and streaming videos, and requires personalized assistance.",3,12.196556,27.58906,-6.0227895
42,Others,['Troubleshooting'],"User is facing issues with setting a song as callertune and has tried all troubleshooting steps, requiring personalized assistance.",4,13.346178,25.924803,-9.330444
43,Network-related issue,['Not receiving SMS'],User is facing an issue with not receiving SMS and needs personalized assistance to resolve the problem.,4,12.883708,26.192091,-9.665956
44,Network-related issue,"['International roaming', 'Problem with data connectivity']","User is facing issues with international roaming and data connectivity, which require personalized assistance.",3,12.494699,27.760786,-6.416416
45,Network-related issue,"['Issue with calls', 'International roaming', 'My issue is not listed here']","User is facing network-related issues, specifically with calls and international roaming. Since the issue is not listed and requires personalized assistance, the user wants to connect with an agent.",4,13.33694,26.195263,-9.678027
46,Network-related issue,"['5G issue', 'Other queries']",User wants to upgrade their 4G supporting device to a 5G supporting device and needs personalized assistance in understanding the factors to consider before making the switch.,1,12.447636,27.228159,-8.796796
47,Network-related issue,['Difficulty making calls'],"User is facing difficulties in making calls while using international roaming, despite following troubleshooting steps.",4,12.767661,26.861244,-9.696926
48,Network-related issue,['My issue is not listed here'],"User wants to update their email address but did not receive the SMS verification after raising a ticket, requiring personalized assistance.",2,12.478514,26.827045,-7.480684
49,Network-related issue,"['Issue with calls', 'My issue is not listed here', 'want to change SIM card holder name']","User is facing network-related issues, specifically with calls and wants to change the SIM card holder name. These concerns require personalized assistance.",4,12.366055,26.563192,-9.678675
50,Others,['Not relevant question'],"User raised a question that is not relevant to the service being provided, requiring assistance from a live agent.",2,11.919598,26.77275,-7.537852
54,Billing and payment issue,"['Payments bank related', 'Transaction Failures', 'Not listed']",User reported unauthorized transactions in their account and requested to raise a support ticket for further assistance.,2,11.895326,27.15463,-7.557859
59,Others,"['Promotions and Offers', 'Recharging using a coupon', ""Coupon's validity""]","User is not satisfied with the response provided for finding promotions and offers, recharging using a coupon, and knowing the coupon's validity.",2,12.583587,27.727081,-7.937219
63,Billing and payment issue,"['Payments bank related', 'Transaction Failures', 'Not listed']","User is facing access errors while trying to view failed transactions in Aerolink Payments Bank, leading to the creation of a support ticket for assistance.",0,12.780765,27.624338,-7.0333753
64,"Balance, Recharge and validity","['Unused data not rolling over', 'Contact support for rollover issue']","User recharged their data plan before expiry to carry forward unused data, but the unused data did not roll over. User seeks support to investigate the rollover issue for their specific plan.",1,12.3582945,25.760542,-8.60409
65,Billing and payment issue,"['Payments bank related', 'Balance Discrepancies', 'Incorrect Deductions']","User encounters problems with Aerolink Payments Bank, specifically related to balance discrepancies and incorrect deductions, necessitating personalized assistance.",0,12.362089,27.21677,-7.099403
66,Billing and payment issue,"['Not listed', 'Auto-Payment Setup']","User is facing issues with setting up auto-payment and is not satisfied with the instructions provided by the bot, hence seeking personalized assistance.",2,12.698624,26.97701,-7.9069834
69,Billing and payment issue,"['Payments bank related', 'OTP issues']",User is facing issues with OTP delays and wants personalized assistance.,2,12.764311,26.522127,-7.4432344
74,Plan/pack related issues,['Validity Extension'],User is facing trouble with plan validity extension and needs personalized assistance.,1,12.74237,26.183043,-8.398916
77,Billing and payment issue,"['Queries related to payment', 'Not listed']","User has a query regarding delay in plan activation after payment, which is not listed in the options provided, leading to the creation of a support ticket.",2,12.422152,26.207489,-7.418022
78,Billing and payment issue,"['Queries related to payment', 'Not listed']","User has a query about receiving notifications for upcoming payments and payment confirmations, and also has a concern about the wrong data limit being activated for the payment.",2,11.847268,26.333569,-7.5092425
79,"Balance, Recharge and validity","['Current balance inquiry', 'Not listed']","User is facing issues with current balance inquiry and there are no proper options available to resolve the issue, hence requesting for live chat with customer support team.",0,11.837015,26.79194,-6.8734326
81,Billing and payment issue,"['Not listed', 'Security and privacy']","User has concerns about transactions and personalized data security, which are not addressed by the bot and require assistance from a live agent.",2,12.026931,26.910988,-8.052588
82,"Balance, Recharge and validity","['Current balance inquiry', 'Not listed']",User is not able to find the desired option for current balance inquiry and requires assistance from a support agent due to time constraints.,0,12.805942,26.689383,-6.714555
83,Others,[],"User is unable to view coupons while recharging and did not receive proper assistance from the bot, leading to the creation of a support ticket.",2,11.940144,27.616508,-7.79492
84,Billing and payment issue,"['Queries related to payment', 'Not listed']",User has a query regarding an incorrect charge on the latest invoice and wants to seek personalized assistance from the support team.,2,11.970214,26.26836,-8.012329
85,Others,['Unclear or missing details in the flow'],User is seeking detailed assistance due to unclear or missing details in the flow and wants to connect with a live agent for further support.,2,12.373404,26.523157,-7.846039
86,Others,"['Missing details in receipts', 'Date and time of transactions mentioned wrong']","User is facing issues with missing details in receipts, specifically the incorrect date and time of transactions, and requires further assistance to resolve the problem.",2,12.479302,27.32625,-7.8421273
87,Billing and payment issue,"['Payments bank related', 'Transaction Failures', 'Account Balance Discrepancies', 'Mobile Banking App Errors']",User is facing issues with downloading receipts and wants assistance in creating a support ticket for the same.,2,11.619973,27.211885,-7.971344
88,Billing and payment issue,"['Payments bank related', 'Transaction Failures', 'Account Balance Discrepancies', 'Mobile Banking App Errors']","User encountered issues with Aerolink Payments Bank, specifically related to transaction failures, account balance discrepancies, and mobile banking app errors. The user was unable to download receipts and take screenshots, leading to the decision to raise a support ticket.",0,11.933597,27.146343,-6.9112315
89,Billing and payment issue,"['Payments bank related', 'Not listed', 'System error while recharging']","User encountered a system error while trying to recharge and despite initial troubleshooting steps, the issue persisted, leading to the decision to raise a support ticket.",2,13.100779,27.122553,-7.7111917
90,Billing and payment issue,['Not listed'],"User has a concern related to billing and payment, specifically an issue that is not listed. They require personalized assistance.",2,11.552319,26.687143,-7.7978597
91,Others,"['Reducing data usage', 'Alternative plans']","User wants to reduce data usage and explore alternative plans, but unable to find suitable options, necessitating personalized assistance.",1,12.163668,26.932955,-9.099546
92,Others,['Reduce data usage'],User wants to reduce the data provided but needs personalized assistance from the customer support team to select a plan for their needs.,1,11.934836,26.57061,-8.740012
93,Billing and payment issue,"['Not listed', 'Not helpful', 'Customized plans']","User is facing issues with finding the smallest recharge amount for SMS, not getting helpful responses, and needing assistance in selecting a plan without a data pack.",1,13.338247,26.578362,-8.322228
94,Others,['How to call support team directly'],"User wants to directly call the support team, indicating a need for personalized assistance.",4,13.030268,26.901709,-9.828542
95,"Balance, Recharge and validity","['Not listed', 'explain about exclusive offers', 'How to check if I can receive offers?', 'Not clear, how to check VIP benefits?']","User seeks clarification on exclusive offers, how to check if they are eligible for offers, and how to check VIP benefits, indicating the need for personalized assistance.",1,12.968672,27.313778,-8.709483
96,Billing and payment issue,"['Queries related to payment', 'Payment Notifications', 'Customizing Notification Preferences']","User is facing issues with payment notifications and customization, and requires personalized assistance to resolve the problem.",2,13.108814,26.685375,-7.479898
97,Billing and payment issue,"['Payments bank related', 'Balance Discrepancies', 'Missing Recharge Amounts']","User encounters problems with Aerolink Payments Bank, specifically related to balance discrepancies and missing recharge amounts, necessitating personalized assistance.",0,12.224286,27.83373,-7.117934
98,Billing and payment issue,"['Not listed', 'Auto-Payment Setup']","User encounters problems with auto-payment setup, specifically related to double deduction of amount and inability to update auto-payment settings, necessitating personalized assistance.",2,12.959576,27.663832,-7.7131495
99,Billing and payment issue,"['Payments bank related', 'Recharge options']","User encounters problems with Aerolink Payments Bank, specifically related to recharge options, necessitating personalized assistance.",0,12.986377,27.106516,-6.75226
100,Billing and payment issue,"['Payments bank related', 'Mobile Banking App Errors', 'Transaction history not updating']","User encounters problems with the Aerolink Payments Bank mobile app, specifically related to transaction history not updating, necessitating personalized assistance.",0,11.833786,27.642324,-6.86571
